country,size,count
canada,11-50,78342
cape verde,201-500,12
cape verde,11-50,53
cape verde,1-10,72
cape verde,51-200,13
cape verde,1001-5000,1
caribbean netherlands,1-10,2
cayman islands,51-200,43
cayman islands,11-50,120
cayman islands,201-500,8
cayman islands,501-1000,2
cayman islands,1001-5000,3
cayman islands,1-10,182
cayman islands,10001+,1
central african republic,51-200,9
central african republic,1-10,12
central african republic,1001-5000,1
central african republic,11-50,6
chad,1-10,22
chad,11-50,29
chad,201-500,10
chad,51-200,13
chad,1001-5000,1
chad,501-1000,1
chad,10001+,1
chile,11-50,11469
chile,1001-5000,491
chile,5001-10000,96
chile,51-200,3686
chile,201-500,1206
chile,10001+,87
chile,1-10,19791
chile,501-1000,542
china,10001+,930
china,1-10,27081
china,501-1000,4861
china,11-50,30881
china,201-500,11854
china,5001-10000,747
china,1001-5000,3847
china,51-200,27701
christmas island,51-200,2
christmas island,1-10,1
cocos (keeling) islands,1001-5000,1
cocos (keeling) islands,51-200,1
colombia,1-10,15627
colombia,501-1000,656
colombia,10001+,102
colombia,201-500,1619
colombia,51-200,4571
colombia,5001-10000,131
colombia,1001-5000,630
colombia,11-50,11427
comoros,1-10,22
comoros,51-200,8
comoros,11-50,8
cook islands,1-10,18
cook islands,11-50,14
cook islands,51-200,12
cook islands,201-500,2
cook islands,501-1000,1
costa rica,501-1000,82
costa rica,1001-5000,62
costa rica,10001+,8
costa rica,51-200,691
costa rica,11-50,1714
costa rica,5001-10000,12
costa rica,1-10,2560
costa rica,201-500,209
croatia,201-500,219
croatia,1001-5000,102
croatia,1-10,3989
croatia,5001-10000,10
croatia,501-1000,89
croatia,11-50,2017
croatia,51-200,774
croatia,10001+,11
cuba,51-200,55
cuba,11-50,76
cuba,201-500,27
cuba,1001-5000,20
cuba,501-1000,19
cuba,1-10,110
cuba,10001+,4
cuba,5001-10000,6
curaçao,1-10,2
curaçao,201-500,2
curaçao,11-50,2
cyprus,1-10,2381
cyprus,1001-5000,59
cyprus,201-500,186
cyprus,51-200,582
cyprus,10001+,7
cyprus,501-1000,73
cyprus,11-50,1669
cyprus,5001-10000,5
czechia,1-10,10581
czechia,10001+,56
czechia,5001-10000,46
czechia,201-500,902
czechia,11-50,7514
czechia,501-1000,384
czechia,1001-5000,287
czechia,51-200,2677
côte d’ivoire,1-10,221
côte d’ivoire,51-200,82
côte d’ivoire,11-50,165
côte d’ivoire,201-500,29
côte d’ivoire,5001-10000,1
côte d’ivoire,501-1000,7
côte d’ivoire,1001-5000,6
côte d’ivoire,10001+,1
democratic republic of the congo,201-500,32
democratic republic of the congo,1-10,181
democratic republic of the congo,51-200,81
democratic republic of the congo,11-50,142
democratic republic of the congo,1001-5000,17
democratic republic of the congo,501-1000,16
democratic republic of the congo,10001+,2
democratic republic of the congo,5001-10000,1
denmark,1001-5000,526
denmark,10001+,108
denmark,1-10,25023
denmark,11-50,12261
denmark,5001-10000,93
denmark,201-500,1233
denmark,51-200,4428
denmark,501-1000,492
djibouti,51-200,16
djibouti,1-10,15
djibouti,501-1000,4
djibouti,201-500,10
djibouti,11-50,20
djibouti,1001-5000,3
djibouti,10001+,1
dominica,1-10,26
