country,size,count
portugal,1001-5000,348
portugal,501-1000,401
portugal,5001-10000,58
puerto rico,201-500,44
puerto rico,10001+,3
puerto rico,51-200,139
puerto rico,1001-5000,17
puerto rico,11-50,383
puerto rico,1-10,535
puerto rico,501-1000,16
puerto rico,5001-10000,1
qatar,11-50,1408
qatar,501-1000,204
qatar,10001+,29
qatar,51-200,858
qatar,201-500,397
qatar,1-10,905
qatar,1001-5000,191
qatar,5001-10000,36
republic of the congo,11-50,3
republic of the congo,1-10,2
republic of the congo,1001-5000,1
romania,1001-5000,287
romania,501-1000,308
romania,11-50,6339
romania,10001+,46
romania,51-200,2468
romania,1-10,10679
romania,201-500,782
romania,5001-10000,39
russia,10001+,217
russia,5001-10000,133
russia,51-200,3413
russia,501-1000,626
russia,201-500,1164
russia,11-50,7937
russia,1001-5000,602
russia,1-10,6489
rwanda,11-50,234
rwanda,201-500,49
rwanda,10001+,3
rwanda,1-10,269
rwanda,51-200,93
rwanda,501-1000,14
rwanda,1001-5000,10
rwanda,5001-10000,1
réunion,1-10,604
réunion,501-1000,6
réunion,201-500,39
réunion,11-50,320
réunion,51-200,111
réunion,1001-5000,12
réunion,5001-10000,3
saint barthélemy,1-10,1
saint barthélemy,11-50,1
saint barthélemy,51-200,1
saint helena,1-10,5
saint helena,11-50,6
saint helena,1001-5000,1
saint kitts and nevis,501-1000,2
saint kitts and nevis,51-200,11
saint kitts and nevis,11-50,18
saint kitts and nevis,1-10,33
saint kitts and nevis,201-500,3
saint lucia,51-200,53
saint lucia,201-500,14
saint lucia,11-50,225
saint lucia,1-10,410
saint lucia,5001-10000,1
saint lucia,501-1000,1
saint lucia,1001-5000,1
saint martin,51-200,1
saint martin,1-10,1
saint martin,11-50,1
saint pierre and miquelon,1-10,2
saint vincent and the grenadines,51-200,30
saint vincent and the grenadines,501-1000,2
saint vincent and the grenadines,1-10,39
saint vincent and the grenadines,201-500,7
saint vincent and the grenadines,11-50,35
saint vincent and the grenadines,10001+,1
samoa,1-10,19
samoa,11-50,19
samoa,201-500,5
samoa,51-200,12
san marino,11-50,81
san marino,51-200,35
san marino,1-10,141
san marino,1001-5000,3
san marino,501-1000,4
san marino,201-500,5
san marino,10001+,1
saudi arabia,11-50,5056
saudi arabia,1001-5000,699
saudi arabia,10001+,147
saudi arabia,51-200,2825
saudi arabia,201-500,1392
saudi arabia,5001-10000,126
saudi arabia,1-10,3483
saudi arabia,501-1000,703
senegal,10001+,5
senegal,1-10,851
senegal,51-200,239
senegal,501-1000,33
senegal,11-50,583
senegal,1001-5000,22
senegal,201-500,109
senegal,5001-10000,9
serbia,1-10,3204
serbia,11-50,2032
serbia,1001-5000,79
serbia,201-500,228
serbia,10001+,10
serbia,5001-10000,11
serbia,501-1000,91
serbia,51-200,726
seychelles,11-50,57
seychelles,1-10,68
seychelles,51-200,21
seychelles,201-500,12
seychelles,501-1000,2
sierra leone,201-500,18
sierra leone,51-200,39
sierra leone,11-50,58
sierra leone,1-10,53
sierra leone,1001-5000,4
sierra leone,501-1000,5
sierra leone,5001-10000,1
singapore,501-1000,512
singapore,51-200,3876
singapore,1001-5000,504
singapore,201-500,1150
singapore,5001-10000,105
singapore,10001+,165
singapore,11-50,11248
singapore,1-10,13901
sint maarten,1-10,1
sint maarten,11-50,1
slovakia,11-50,2031
slovakia,201-500,233
slovakia,1001-5000,86
slovakia,10001+,22
slovakia,51-200,801
slovakia,1-10,3518
slovakia,501-1000,88
slovakia,5001-10000,11
slovenia,51-200,569
slovenia,5001-10000,9
slovenia,201-500,154
slovenia,11-50,1543
slovenia,1001-5000,57
slovenia,1-10,2910
slovenia,501-1000,60
slovenia,10001+,9
solomon islands,201-500,4
solomon islands,1-10,14
solomon islands,11-50,15
solomon islands,51-200,9
solomon islands,501-1000,2
somalia,11-50,54
somalia,201-500,24
somalia,51-200,34
somalia,5001-10000,2
somalia,501-1000,5
somalia,1-10,62
somalia,1001-5000,6
somalia,10001+,2
south africa,10001+,230
south africa,501-1000,795
south africa,1001-5000,791
south africa,11-50,23007
south africa,51-200,7516
south africa,1-10,34063
south africa,5001-10000,166
south africa,201-500,2089
south africa,,1
south korea,201-500,207
south korea,10001+,42
south korea,1001-5000,99
south korea,1-10,947
south korea,51-200,544
south korea,11-50,992
south korea,501-1000,91
south korea,5001-10000,38
south sudan,1001-5000,3
south sudan,1-10,32
south sudan,201-500,3
south sudan,11-50,24
south sudan,51-200,11
south sudan,501-1000,3
spain,201-500,5449
spain,11-50,72964
spain,10001+,429
spain,51-200,21350
spain,501-1000,1945
spain,1001-5000,2343
spain,5001-10000,291
spain,1-10,120676
sri lanka,201-500,433
sri lanka,11-50,2338
sri lanka,51-200,1054
sri lanka,1-10,2406
sri lanka,10001+,41
sri lanka,1001-5000,194
sri lanka,501-1000,218
sri lanka,5001-10000,46
sudan,501-1000,27
sudan,11-50,244
sudan,201-500,63
sudan,51-200,111
sudan,1-10,195
sudan,10001+,6
sudan,1001-5000,34
sudan,5001-10000,6
suriname,10001+,2
suriname,1-10,234
suriname,11-50,190
suriname,1001-5000,3
suriname,51-200,91
suriname,201-500,28
suriname,501-1000,5
svalbard and jan mayen,1-10,9
svalbard and jan mayen,51-200,5
svalbard and jan mayen,11-50,3
svalbard and jan mayen,201-500,1
swaziland,51-200,35
swaziland,201-500,16
swaziland,501-1000,10
swaziland,11-50,59
swaziland,1-10,90
swaziland,1001-5000,3
swaziland,10001+,1
sweden,11-50,18816
sweden,1001-5000,782
sweden,10001+,167
sweden,5001-10000,148
sweden,201-500,1702
sweden,501-1000,742
sweden,51-200,6432
sweden,1-10,31203
switzerland,1-10,29998
switzerland,501-1000,741
switzerland,11-50,17432
switzerland,51-200,5834
switzerland,10001+,203
switzerland,1001-5000,730
switzerland,5001-10000,136
switzerland,201-500,1613
syria,1001-5000,21
syria,1-10,234
syria,501-1000,29
syria,201-500,59
syria,11-50,268
syria,51-200,109
syria,5001-10000,3
syria,10001+,2
são tomé and príncipe,11-50,3
são tomé and príncipe,1-10,12
são tomé and príncipe,51-200,3
são tomé and príncipe,501-1000,2
taiwan,501-1000,279
taiwan,51-200,1273
taiwan,201-500,518
taiwan,1001-5000,334
taiwan,10001+,104
taiwan,1-10,2119
taiwan,11-50,2199
taiwan,5001-10000,72
tajikistan,201-500,9
tajikistan,51-200,15
tajikistan,11-50,40
tajikistan,1-10,29
tajikistan,501-1000,4
tajikistan,1001-5000,3
tanzania,11-50,772
tanzania,1001-5000,33
tanzania,1-10,950
tanzania,501-1000,49
tanzania,51-200,319
tanzania,201-500,157
tanzania,5001-10000,3
tanzania,10001+,9
thailand,11-50,3392
thailand,1-10,3733
thailand,201-500,593
thailand,501-1000,297
thailand,51-200,1581
thailand,1001-5000,283
thailand,5001-10000,51
thailand,10001+,71
timor-leste,1-10,6
timor-leste,51-200,2
timor-leste,11-50,7
togo,201-500,18
togo,51-200,44
togo,1-10,158
togo,11-50,103
togo,501-1000,8
togo,1001-5000,4
togo,10001+,3
tonga,51-200,7
tonga,11-50,10
tonga,1-10,12
tonga,1001-5000,1
trinidad and tobago,1-10,473
trinidad and tobago,1001-5000,16
trinidad and tobago,51-200,182
trinidad and tobago,201-500,66
trinidad and tobago,11-50,312
trinidad and tobago,501-1000,27
trinidad and tobago,5001-10000,4
tunisia,1001-5000,79
tunisia,1-10,2197
tunisia,10001+,18
tunisia,501-1000,93
tunisia,5001-10000,16
tunisia,201-500,292
tunisia,51-200,647
tunisia,11-50,1596
turkey,1001-5000,1374
turkey,51-200,10521
turkey,201-500,4422
turkey,1-10,29016
turkey,5001-10000,254
turkey,10001+,394
turkey,11-50,24951
turkey,501-1000,1636
turkmenistan,1001-5000,3
turkmenistan,51-200,13
turkmenistan,11-50,30
turkmenistan,1-10,17
turkmenistan,201-500,7
turkmenistan,501-1000,2
turks and caicos islands,1-10,51
turks and caicos islands,11-50,33
turks and caicos islands,51-200,11
turks and caicos islands,201-500,3
turks and caicos islands,501-1000,1
turks and caicos islands,1001-5000,1
tuvalu,11-50,8
tuvalu,1-10,2
tuvalu,51-200,1
u.s. virgin islands,51-200,2
u.s. virgin islands,1-10,3
uganda,501-1000,53
uganda,11-50,870
uganda,1001-5000,41
uganda,51-200,309
uganda,1-10,970
uganda,201-500,128
uganda,5001-10000,4
uganda,10001+,8
ukraine,1001-5000,259
ukraine,51-200,1738
ukraine,501-1000,237
ukraine,201-500,598
ukraine,10001+,69
ukraine,5001-10000,50
ukraine,1-10,4643
ukraine,11-50,5078
united arab emirates,5001-10000,188
united arab emirates,201-500,2701
united arab emirates,10001+,224
united arab emirates,11-50,16793
united arab emirates,501-1000,1099
united arab emirates,51-200,6779
united arab emirates,1-10,14930
united arab emirates,1001-5000,975
united kingdom,501-1000,4529
united kingdom,201-500,12049
united kingdom,5001-10000,838
united kingdom,1-10,598151
united kingdom,11-50,230813
united kingdom,10001+,1059
united kingdom,1001-5000,4106
united kingdom,51-200,53121
united states,501-1000,25930
united states,1001-5000,22898
united states,1-10,1960943
united states,10001+,6643
united states,5001-10000,4275
united states,201-500,67867
united states,11-50,892776
united states,51-200,248674
uruguay,1001-5000,66
uruguay,51-200,679
uruguay,501-1000,79
uruguay,10001+,17
uruguay,1-10,3048
uruguay,11-50,1808
uruguay,201-500,195
uruguay,5001-10000,8
uzbekistan,10001+,8
uzbekistan,201-500,38
uzbekistan,1-10,160
uzbekistan,11-50,216
uzbekistan,51-200,86
uzbekistan,1001-5000,23
uzbekistan,501-1000,21
uzbekistan,5001-10000,8
vanuatu,1-10,38
vanuatu,11-50,31
vanuatu,51-200,17
vanuatu,501-1000,1
vanuatu,5001-10000,1
vanuatu,201-500,7
vatican city,11-50,5
vatican city,1-10,5
vatican city,51-200,4
vatican city,10001+,1
vatican city,1001-5000,2
venezuela,11-50,2324
venezuela,5001-10000,29
venezuela,201-500,319
venezuela,10001+,25
venezuela,1001-5000,130
venezuela,501-1000,143
venezuela,1-10,2598
venezuela,51-200,946
vietnam,10001+,107
vietnam,1001-5000,417
vietnam,11-50,4515
vietnam,51-200,2312
vietnam,501-1000,434
vietnam,201-500,938
vietnam,1-10,2995
vietnam,5001-10000,92
wallis and futuna,11-50,1
western sahara,1-10,4
western sahara,201-500,1
western sahara,1001-5000,1
western sahara,11-50,1
yemen,201-500,31
yemen,51-200,55
yemen,1-10,103
yemen,11-50,115
yemen,501-1000,16
yemen,1001-5000,14
yemen,10001+,4
zambia,51-200,180
zambia,501-1000,42
zambia,1001-5000,21
zambia,10001+,8
zambia,1-10,447
zambia,11-50,372
zambia,201-500,93
zambia,5001-10000,4
zimbabwe,501-1000,51
zimbabwe,1001-5000,44
zimbabwe,201-500,133
zimbabwe,1-10,1361
zimbabwe,5001-10000,4
zimbabwe,11-50,892
zimbabwe,10001+,10
zimbabwe,51-200,272
åland islands,51-200,5
åland islands,501-1000,1
åland islands,1-10,28
åland islands,11-50,21
åland islands,201-500,2
åland islands,1001-5000,1
